1|5501
1|5502
1|5505
1|5506
1|5507
2|5501
2|5502
2|5505
2|5506
3|5501
3|5502
3|5505
3|5506
4|5501
4|5502
4|5505
4|5506
5|5501
5|5502
5|5505
5|5506
6|5501
6|5502
6|5505
6|5506
7|5501
7|5502
7|5505
7|5506
8|5501
8|5502
8|5505
8|5506
8|5507
9|5501
9|5502
9|5505
9|5506
9|5507
10|5501
10|5502
10|5505
10|5506
10|5507
11|5501
11|5502
11|5505
11|5506
12|5501
12|5502
12|5505
12|5506
12|5507
13|5501
13|5502
13|5505
13|5506
14|5501
14|5502
14|5505
14|5506
16|5501
16|5502
16|5505
16|5506
16|5507
19|5501
19|5502
19|5505
19|5506
19|5507
20|5501
20|5502
20|5505
20|5506
20|5507
21|5501
21|5502
21|5505
21|5506
22|5501
22|5502
22|5505
22|5506
23|5501
23|5502
23|5505
23|5506
24|5501
24|5502
24|5505
24|5506
24|5507
26|5501
26|5502
26|5505
26|5506
27|5501
27|5502
27|5505
27|5506
27|5507
29|5501
29|5502
29|5505
29|5506
29|5507
33|5501
33|5502
33|5505
33|5506
35|5501
35|5502
35|5505
35|5506
35|5507
36|5501
36|5502
36|5505
36|5506
37|5501
37|5502
37|5505
37|5506
37|5507
38|5501
38|5502
38|5505
38|5506
38|5507
39|5501
39|5502
39|5505
39|5506
41|5501
41|5502
41|5505
41|5506
42|5501
42|5502
42|5505
42|5506
42|5507
43|5501
43|5502
43|5505
43|5506
43|5507
44|5501
44|5502
44|5505
44|5506
45|5501
45|5502
45|5505
45|5506
45|5507
46|5501
46|5502
46|5505
46|5506
47|5501
47|5502
47|5505
47|5506
47|5507
49|5501
49|5502
49|5505
49|5506
50|5501
50|5502
50|5505
50|5506
53|5501
53|5502
53|5505
53|5506
54|5501
54|5502
54|5505
54|5506
55|5501
55|5502
55|5505
55|5506
55|5507
56|5501
56|5502
56|5505
56|5506
57|5501
57|5502
57|5505
57|5506
58|5501
58|5502
58|5505
58|5506
58|5507
60|5501
60|5502
60|5505
60|5506
60|5507
64|5501
65|5501
66|5501
67|5501
67|5502
67|5505
67|5506
67|5507
68|5501
68|5502
68|5505
68|5506
68|5507
69|5501
69|5502
69|5505
69|5506
69|5507
